locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
savemart.com,https://www.savemart.com/stores/standiford-49/4916,STANDIFORD #49,2100 STANDIFORD AVE,MODESTO,CA,95350,49,209-577-0545,37.6894082,-121.0343549,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/pelandale-95/4977,PELANDALE #95,3601 PELANDALE,MODESTO,CA,95356,95,209-545-1260,37.7012023,-121.0645571,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/scenic-86/4969,SCENIC #86,801 OAKDALE ROAD,MODESTO,CA,95355,86,209-569-0240,37.6542021,-120.960902,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/modesto-1/8778,MODESTO #1,3401 OAKDALE ROAD,MODESTO,CA,95355,1,209-272-8494,37.687262,-120.957942,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/riverbank-105/4900,RIVERBANK #105,2237 CLARIBEL ROAD,RIVERBANK,CA,95367,105,209-863-1480,37.7134458,-120.9591661,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/ceres-635/4949,CERES #635,2916 WHITMORE AVE,CERES,CA,95307,635,209-538-4118,37.5934078,-120.9427236,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/ripon-100/4897,RIPON #100,1453 GOODWIN DRIVE,RIPON,CA,95366,100,209-599-3355,37.7525937,-121.137607,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/patterson-82/4967,PATTERSON #82,1035 SPERRY AVE,PATTERSON,CA,95363,82,209-892-5000,37.4644353,-121.1447925,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/north-main-386/4909,NORTH MAIN #386,1172 N. MAIN,MANTECA,CA,95336,386,209-239-2267,37.8135972,-121.2174252,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
savemart.com,https://www.savemart.com/stores/manteca-12/4901,MANTECA #12,1431 W. YOSEMITE,MANTECA,CA,95337,12,209-823-1768,37.7982569,-121.2413065,"Sunday 6:00 am - 10:00 pm, Monday 6:00 am - 10:00 pm, Tuesday 6:00 am - 10:00 pm, Wednesday 6:00 am - 10:00 pm, Thursday 6:00 am - 10:00 pm, Friday 6:00 am - 10:00 pm, Saturday 6:00 am - 10:00 pm",USA,<MISSING>
